,shopee_product_ID,shopee_name,shopee_cat,shopee_price,lazada_name,lazada_cat,lazada_price,lazada_discount_price,lazada_weight,similarity_score
1124,159679488,Fancycube solid wood with scale rolling pin,Home & Living,103790,"Fancyqube Digital Scale Jewelry Electronic scales Precision Balance
bilancia digitale di precisione scales - intl",Alat Dapur,89000.0,89000.0,,0.291436823705
1125,169106550,Fancycube Women Camouflage Print Long Sleeve V-Neck T-Shirt,Women Clothes,97902,"Fancyqube New women T Shirt fashion V Neck long sleeve sunner
autumn top zipper T Black - intl",Fashion,164000.0,164000.0,,0.51683969044
1126,236055874,Fancyqube Girl's Two Piece Shirt Tank and Shorts Outfits Set,Baby & Kids,103398,"Fancyqube Two Piece Top And Skirt Set Super Sexy Suit Womens Two
Piece Sets Black",Fashion,156000.0,156000.0,0.31,0.452196071566
1127,128076802,Fancycube Black Gray Long-sleeved arm-wrapped dress,Women Clothes,106888,"Fancyqube Women Broken Wrap Dress Short Sleeved Casual Mini Dress
Home Blouse Party Dresses Apricot - intl",Fashion,169000.0,169000.0,,0.338895529457
1128,248270595,Fancyqube Men Women Unisex Sport Cap Snapback Hat Superman,Fashion Accessories,78084,"Fancyqube Five Stars Snapback Hat Children Snapback Caps Cool
Strapback Letter Baseball Cap Hip-hop Hats For Boys Girls Blue -
intl",Bayi & Balita,98000.0,98000.0,,0.505578268547
1129,242363933,Fancyqube Flash Light Hand Spinner Tri Fidget Spinner Desk Toy EDC Focus Toy,Baby & Kids,71088,"Fancyqube LED Toy Flashing Spiky Ball Flash Elastic Ball Color
Random - intl",Mainan Anak,57000.0,57000.0,,0.355569267263
1130,225920039,Fancyqube Canada 150 Printed Men Women Universal T-Shirt,Men Clothes,87936,"Fancyqube Fashion Women Men Unisex Casual White Canada 150
Anniversary T-shirt White - intl",Fashion,147000.0,147000.0,,0.647331617106
1131,114843153,Fancycube Newborn multi-function Mom's Carry Foldable Cot ,Baby & Kids,591193,Fancyqube Ladies canvas multi-functional bag shoulder Blue - intl,Tas & Travel,347000.0,347000.0,,0.294419197702
1132,248234165,Fancyqube Fingertip Gyro Spinner Hand Spinner Anti Stress Fun Toy,Baby & Kids,97064,"Fancyqube Stolen Dream Space Metal Gyro Gifts Keychain Gyro Toys
Sliver",Mobil & Motor,45000.0,45000.0,0.022,0.564021663225
1133,172153567,Fancyqube Women Multicolour Stripe Strander Vest Tops ,Women Clothes,75827,"Fancyqube Hot Black Stripe women Top Vest Bustier Bra Sleeveless
Halter neck tank top Women Summer top Stripe - intl",Fashion,67000.0,67000.0,,0.574650804009
1134,212360365,Fancyqube Knit Deep V Collar long sleeve Choker top,Women Clothes,101071,"Fancyqube Womens Girls V Neck Laces Long Sleeve Shirt Knitted Crop
Top Party Clubwear Coffee - intl",Fashion,169000.0,169000.0,,0.4184299157
1135,247998331,Fancyqube Women Wave point Blouse Retro Shirt Tops Tshirts,Women Clothes,82023,"Fancyqube Hot Sale Cartoon bear wave point waterproof apron fashion
kitchen chores antifouling sleeveless condole aprons Coffee - intl",Alat Dapur,53000.0,53000.0,,0.421188481451
1136,123806071,Fancycube 9 Color Eye Shadow Eyeshadow Palette ,Cosmetics,70710,"Fancycube new Fashion Women Summer Anchor print Vest shirts
backless Casual Tank Tops Blue",Fashion,111000.0,111000.0,0.3,0.242706975298
1137,199014079,Fancyqube Women Pineapple Printed Loose T-Shirt Top Blouse,Women Clothes,104583,"Fancyqube Summer Loose Fresh Pineapple Women Short T-shirt White -
intl",Fashion,89000.0,89000.0,,0.597903720541
1138,171532151,Fancyqube Women Round Neck Short Bat Sleeve Tops T-shirt ,Women Clothes,89511,Fancyqube Letter Printing Round Neck Short Sleeve T-shirt (Black),Fashion,87000.0,87000.0,0.14,0.635583730347
1139,199013871,Fancyqube Women Solid Color Lapel hooded sweater,Women Clothes,141226,"Fancyqube Womens Hoodie Sweater Tops Ladies Hooded Sweatshirt
Pullover Jumper Coat Dark Black - intl",Fashion,212000.0,212000.0,,0.452570914718
1140,114843125,Fancycube printing KING Queen 09 hooded sweater ,Men Clothes,124733,"Fancyqube Hot Sale KING QUEEN Funny Letters Printed Couples T Shirt
Women Men Sport Tees Hipster Black(Int:S) - intl",Fashion,142000.0,142000.0,,0.385346524118
1141,342509974,Fancyqube Sexy Mesh One Shoulder Long-sleeve Sweater tshirts,Women Clothes,94693,"Fancyqube Cotton Short-sleeved Sweater Dresses Letters One-piece
Dress (Grey)",Fashion,149000.0,149000.0,0.22,0.418376454503
1142,128077026,Fancyqube Women Coat Long Sleeves Jacket Slim Solid Tops,Women Clothes,136320,"Fancyqube Winter Women Coat Cotton Padded Long Sleeves Jacket Slim
Outwear Solid O Neck Fashion Simple Army Green - intl",Fashion,212000.0,212000.0,,0.686632211304
1143,165507550,Fancycube Women Knitting Lace Over Knee Thigh Stockings ,Women Shoes,62903,"Fancyqube Wool Into Stockings Set Openwork Buttons Warm Knee Pad
Set Dark Grey","Perkakas, DIY & Outdoor",48000.0,48000.0,0.032,0.280593810544
